killing,Open,Close,Neighbors,DToPath,Elevation
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.5,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.75,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.25,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.25,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.333333333,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.75,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.5,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.5,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0.25,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.666666667,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.5,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0.25,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
0,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
1,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
1,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
1,1.75E-27,0.999536,7.996983,32.61986137,0.071814265
0,9.73E-14,0.99605,6.9866559,25.31987975,0.016722934
1,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0.75,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
1,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
1,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0.75,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
1,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0.5,0.00686458,0.974594,5.9243386,46.22752002,0.21874244
0,0.00686458,0.974594,5.9243386,46.22752002,0.21874244
0,0.00686458,0.974594,5.9243386,46.22752002,0.21874244
1,0.00686458,0.974594,5.9243386,46.22752002,0.21874244
0,0.00686458,0.974594,5.9243386,46.22752002,0.21874244
1,5.94E-27,0.999454,7.974801,237.4800245,-0.989931107
0,5.94E-27,0.999454,7.974801,237.4800245,-0.989931107
0,5.94E-27,0.999454,7.974801,237.4800245,-0.989931107
0.25,5.94E-27,0.999454,7.974801,237.4800245,-0.989931107
1,5.94E-27,0.999454,7.974801,237.4800245,-0.989931107
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0,9.36E-07,0.989,6.93650702,50.2345924,0.026320002
0.25,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
1,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
0,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
0,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
0,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
0,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
0,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
0,2.63E-12,0.995315,7.963031,89.28952424,0.475151776
1.0,0.367543,0.606625,4.70202554,23.23889667,0.033191415
0.25,0.0816128,0.892996,2.95257303,38.37300415,-0.061921122
0,0.978764,0.00440114,1.33485448,54.0895105,-0.06301001
0,0.000386946,0.983594,4.10739867,59.20039376,-0.165838983
0.25,0.0804281,0.898348,4.52549039,62.62943369,-0.2528593
1.0,3.7e-11,0.993742,4.91881707,52.73815725,-0.166950111
0,2.63e-12,0.995315,7.963031,89.28952424,0.475151776
1.0,0,0,0,0,0
1.0,0,0,0,0,0
1.0,0,0,0,0,0
1.0,0,0,0,0,0
0.0,9.72638e-14,0.99605,6.9866559,25.319879752459094,0.016722934297386513
